"State","DATE","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX"
"AK",1957-01-01,2385,1065,79,2,6594,1726,8131,6594,20974,NA,NA
"AK",1958-01-01,2126,1125,63,1,7212,1685,8923,7212,23263,NA,NA
"AK",1959-01-01,2167,1398,90,32,7055,1942,9537,7055,24045,NA,NA
"AK",1960-01-01,2182,1692,95,542,7954,1449,10595,7954,27110,NA,NA
"AK",1961-01-01,2393,1450,71,219,9861,2217,11810,9861,31571,NA,NA
"AK",1962-01-01,2801,1816,98,64,10933,3336,14042,10933,36524,NA,NA
"AK",1963-01-01,2550,2207,86,10,12207,3135,15213,12207,39131,NA,NA
"AK",1964-01-01,2690,1764,101,11,11902,2637,15695,11902,39034,NA,NA
"AK",1965-01-01,3272,1877,97,1,12888,3123,18000,12888,44019,NA,NA
"AK",1966-01-01,3564,4105,150,2,14394,3535,23343,14394,52799,NA,NA
"AK",1967-01-01,3694,3450,116,0,16198,4146,26142,16198,58169,NA,NA
"AK",1968-01-01,4312,3865,128,3,16291,4452,26464,16291,60402,NA,NA
"AK",1969-01-01,4682,4307,167,0,18209,8753,29540,18209,71828,NA,NA
"AK",1970-01-01,5645,5301,402,0,20408,10780,37756,20408,85899,NA,NA
"AK",1971-01-01,6913,6050,406,0,22238,14491,47883,22238,102053,NA,NA
"AK",1972-01-01,6852,6455,449,0,23405,14905,45567,23405,102084,NA,NA
"AK",1973-01-01,7608,6964,508,0,25118,14099,50327,25118,109043,NA,NA
"AK",1974-01-01,8513,8241,567,0,27237,17515,57460,27237,124162,NA,NA
"AK",1975-01-01,11994,17345,595,6566,33756,29347,104320,33756,202848,NA,NA
"AK",1976-01-01,4527,31103,667,306429,62944,27978,177357,62944,598806,NA,NA
"AK",1977-01-01,7547,35772,715,409767,65942,23758,246110,65942,773474,NA,NA
"AK",1978-01-01,10229,33504,797,173197,68609,107715,179332,68609,563485,NA,NA
"AK",1979-01-01,13658,256986,646,162151,74546,173685,373035,74546,816710,NA,NA
"AK",1980-01-01,17455,565329,671,169016,54422,506469,665810,54422,1437607,NA,NA
"AK",1981-01-01,24011,894843,857,143179,53310,1170180,902015,53310,2316823,NA,NA
"AK",1982-01-01,29438,703663,1055,142719,65216,1571553,705151,65216,2539193,NA,NA
"AK",1983-01-01,28041,266302,934,152580,74614,1494034,267842,74614,2046086,NA,NA
"AK",1984-01-01,26616,304621,960,131050,88255,1393039,305772,88255,1973252,NA,NA
"AK",1985-01-01,27709,204600,981,120548,112908,1389262,205868,112908,1885811,NA,NA
"AK",1986-01-01,31505,177751,946,113509,67254,1432911,178307,67254,1856488,NA,NA
"AK",1987-01-01,37630,141068,896,102491,81725,666870,141495,81725,1062391,NA,NA
"AK",1988-01-01,37772,181387,892,96225,81710,818655,181836,81710,1251021,NA,NA
"AK",1989-01-01,44982,459686,929,89713,80954,698850,459686,80954,1410330,NA,NA
"AK",1990-01-01,37795,185140,881,89841,90904,1103812,185140,90904,1546441,NA,NA
"AK",1991-01-01,41951,253649,912,85007,96674,1284746,253649,96674,1806131,NA,NA
"AK",1992-01-01,41568,200025,930,69048,101286,1150605,200025,101286,1602937,NA,NA
"AK",1993-01-01,23198,872260,962,66918,99239,1124980,872260,99239,2227283,NA,NA
"AK",1994-01-01,27641,176070,1001,61612,99654,827522,176070,99654,1240275,NA,NA
"AK",1995-01-01,28029,528005,1095,57294,101039,1159882,528005,101039,1922463,NA,NA
"AK",1996-01-01,27429,326270,1361,56168,99124,956961,326270,99124,1519082,NA,NA
"AK",1997-01-01,30519,331337,1188,53567,96014,1058602,331337,96014,1619110,NA,NA
"AK",1998-01-01,35594,275758,1395,48516,116803,645358,275758,116803,1186235,NA,NA
"AK",1999-01-01,30211,211811,1422,48704,132004,426022,211811,132004,905135,NA,NA
"AK",2000-01-01,33704,438438,1639,44608,137735,708390,438438,137735,1423287,NA,NA
"AK",2001-01-01,11881,400442,1278,45116,134637,772403,400442,134637,1428698,NA,NA
"AK",2002-01-01,11137,269273,1281,49652,142050,551293,269273,142050,1089504,NA,NA
"AK",2003-01-01,9053,207075,1290,48741,152132,640856,207075,152132,1120133,NA,NA
"AK",2004-01-01,9090,339564,1319,47368,172876,697394,339564,172876,1343191,NA,NA
"AK",2005-01-01,14849,588694,1019,42912,198797,925699,588694,198797,1858311,NA,NA
"AK",2006-01-01,37307,821664,1343,54507,208898,1274642,821664,208898,2484422,NA,NA
"AK",2007-01-01,38720,813762,1405,65780,235797,2436660,813762,235797,3688447,NA,NA
"AK",2008-01-01,40339,1297513,878,81518,277033,6939040,1297513,277033,8732385,NA,NA
"AK",2009-01-01,40005,632123,889,111251,250267,3829564,632123,250267,4955884,NA,NA
"AK",2010-01-01,43543,643068,228,118870,263005,3355049,643068,263005,4522927,NA,NA
"AK",2011-01-01,41889,720733,0,184254,256014,4238789,720733,256014,5537679,NA,NA
"AK",2012-01-01,38936,663144,0,215407,248432,5787360,663144,248432,7049398,NA,NA
"AK",2013-01-01,40522,630941,0,99598,249586,4016966,630941,249586,5132811,NA,NA
"AK",2014-01-01,43060,408938,0,128076,257696,2456212,408938,257696,3392869,NA,NA
"AK",2015-01-01,44663,227852,NA,127821,255971,635820,227852,255971,1363350,NA,NA
"AK",2016-01-01,46957,67457,NA,111736,260846,336801,67457,260846,896921,NA,NA
"AK",2017-01-01,50612,87775,NA,120805,263120,598175,87775,263120,1208929,NA,NA
"AK",2018-01-01,65553,196321,NA,122341,252970,931084,196321,252970,1656352,NA,NA
"AK",2019-01-01,68759,332520,NA,121501,278823,888310,332520,278823,1780911,NA,NA
"AK",2020-01-01,71637,194663,NA,125696,255206,609307,194663,255206,1337059,NA,NA
"AK",2021-01-01,74622,124987,NA,120028,267842,387367,124987,267842,1053400,NA,NA
"AK",2022-01-01,53084,413175,NA,125219,270644,1479380,413175,270644,2427795,NA,NA
"AK",1957-01-01,2385,1065,79,2,6594,1726,8131,6594,20974,NA,NA
"AK",1958-01-01,2126,1125,63,1,7212,1685,8923,7212,23263,NA,NA
"AK",1959-01-01,2167,1398,90,32,7055,1942,9537,7055,24045,NA,NA
"AK",1960-01-01,2182,1692,95,542,7954,1449,10595,7954,27110,NA,NA
"AK",1961-01-01,2393,1450,71,219,9861,2217,11810,9861,31571,NA,NA
"AK",1962-01-01,2801,1816,98,64,10933,3336,14042,10933,36524,NA,NA
"AK",1963-01-01,2550,2207,86,10,12207,3135,15213,12207,39131,NA,NA
"AK",1964-01-01,2690,1764,101,11,11902,2637,15695,11902,39034,NA,NA
"AK",1965-01-01,3272,1877,97,1,12888,3123,18000,12888,44019,NA,NA
"AK",1966-01-01,3564,4105,150,2,14394,3535,23343,14394,52799,NA,NA
"AK",1967-01-01,3694,3450,116,0,16198,4146,26142,16198,58169,NA,NA
"AK",1968-01-01,4312,3865,128,3,16291,4452,26464,16291,60402,NA,NA
"AK",1969-01-01,4682,4307,167,0,18209,8753,29540,18209,71828,NA,NA
"AK",1970-01-01,5645,5301,402,0,20408,10780,37756,20408,85899,NA,NA
"AK",1971-01-01,6913,6050,406,0,22238,14491,47883,22238,102053,NA,NA
"AK",1972-01-01,6852,6455,449,0,23405,14905,45567,23405,102084,NA,NA
